=== MAIL CLIENT MIGRATION - COMPLETE GAP ANALYSIS ===
Generated: 2026-02-28T17:58:27.266Z

DIR                  XML_MIG  JS_IT  GAP    STATUS
----------------------------------------------------------------------
AddressList                8      8     0  COMPLETE
Auth                      29     29     0  COMPLETE
Briefcase                  5      7    -2  EXTRA 2
Calendar                  10     11    -1  EXTRA 1
Contacts                  11     11     0  COMPLETE
Conversation               2      2     0  COMPLETE
DataSource                47     53    -6  EXTRA 6
DistributionList           4      6    -2  EXTRA 2
Dumpster                  10     10     0  COMPLETE
Filters                    2      2     0  COMPLETE
Folders                   18     18     0  COMPLETE
GAL                       28     33    -5  EXTRA 5
HAB                       28     29    -1  EXTRA 1
Headers                    1      1     0  COMPLETE
Identities                 1      1     0  COMPLETE
Mail                      11     14    -3  EXTRA 3
Misc                       3      3     0  COMPLETE
Mobile                     1      1     0  COMPLETE
Passwd                     2      2     0  COMPLETE
Prefs                     25     29    -4  EXTRA 4
Search                    10     15    -5  EXTRA 5
Smime                    104    112    -8  EXTRA 8
Spam                      13     16    -3  EXTRA 3
Tags                       2      2     0  COMPLETE
Tasks                      2      2     0  COMPLETE
VoiceMail                 52     55    -3  EXTRA 3
ZCO                        2      2     0  COMPLETE
----------------------------------------------------------------------
TOTAL                    431    476     0  0 tests still need migration
