XML File | XML Count | JS File | JS Count | Status
--- | --- | --- | --- | ---
Bugs\Bug10137.xml | 1 | bugs/bug-10137.js | 1 | MATCH
Bugs\Bug31113.xml | 0 | bugs/bug-31113.js | 2 | MISMATCH
Bugs\Bug39804.xml | 1 | bugs/bug-39804.js | 2 | MISMATCH
Bugs\Bug40759.xml | 2 | bugs/bug-40759.js | 2 | MATCH
Bugs\Bug61913.xml | 1 | bugs/bug-61913.js | 1 | MATCH
Bugs\Bug66715.xml | 2 | bugs/bug-66715.js | 2 | MATCH
Bugs\Bug85404.xml | 1 | bugs/bug-85404.js | 1 | MATCH
Bugs\Bug95572.xml | 1 | bugs/bug-95572.js | 1 | MATCH
Folder-Action.xml | 37 | folder-action.js | 37 | MATCH
Folder-Create.xml | 18 | folder-create.js | 18 | MATCH
Folder-Loop.xml | 9 | folder-loop.js | 9 | MATCH
Folder-Nested-Loop.xml | 8 | folder-nested-loop.js | 8 | MATCH
Folder-Retention-Policy.xml | 3 | folder-retention-policy.js | 5 | MISMATCH
Folders-Get.xml | 12 | folders-get.js | 12 | MATCH
Folders-Immutable.xml | 3 | folders-immutable.js | 3 | MATCH
Folders.xml | 16 | folders.js | 16 | MATCH
Itemaction-Folder.xml | 11 | itemaction-folder.js | 11 | MATCH
Mountpoint\Create-Mountpoint.xml | 18 | mountpoint/create-mountpoint.js | 18 | MATCH
Mountpoint\FolderActionRequest-Mountpoint.xml | 1 | mountpoint/folder-action-request-mountpoint.js | 1 | MATCH
Mountpoint\Get-Mountpoint.xml | 2 | mountpoint/get-mountpoint.js | 2 | MATCH
Mountpoint\Stale-Mountpoint.xml | 5 | mountpoint/stale-mountpoint.js | 5 | MATCH
Searchfolder-Action.xml | 10 | searchfolder-action.js | 10 | MATCH
Searchfolder-Create.xml | 18 | searchfolder-create.js | 18 | MATCH
Searchfolder-Get.xml | 1 | searchfolder-get.js | 1 | MATCH
Searchfolder-Loop.xml | 11 | searchfolder-loop.js | 11 | MATCH
Searchfolder-Modify.xml | 8 | searchfolder-modify.js | 8 | MATCH
Sharing\Bugs\Bug77298.xml | 2 | sharing/bugs/bug-77298.js | 2 | MATCH
Sharing\Bugs\Bug92407.xml | 1 | sharing/bugs/bug-92407.js | 1 | MATCH
Sharing\Bugs\Bugs.xml | 2 | N/A | 0 | MISSING
Sharing\GetEffectiveFolderPermsRequest-Basic.xml | 8 | N/A | 0 | MISSING
Sharing\Grantee\Sharing-Grantee-Alias.xml | 2 | sharing/grantee/alias.js | 2 | MATCH
Sharing\Grantee\Sharing-Grantee-All.xml | 2 | sharing/grantee/all.js | 2 | MATCH
Sharing\Grantee\Sharing-Grantee-COS.xml | 2 | sharing/grantee/cos.js | 2 | MATCH
Sharing\Grantee\Sharing-Grantee-DL.xml | 4 | sharing/grantee/dl.js | 3 | MISMATCH
Sharing\Grantee\Sharing-Grantee-Domain.xml | 2 | sharing/grantee/domain.js | 2 | MATCH
Sharing\Grantee\Sharing-Grantee-Guest.xml | 2 | sharing/grantee/guest.js | 2 | MATCH
Sharing\Grantee\Sharing-Grantee-Public.xml | 2 | sharing/grantee/public.js | 2 | MATCH
Sharing\Grantee\Sharing-Grantee-User.xml | 2 | sharing/grantee/user.js | 2 | MATCH
Sharing\ShareLifeTime\Share-Lifetime.xml | 3 | sharing/share-lifetime/share-lifetime.js | 3 | MATCH
Sharing\Sharing-Combine.xml | 8 | sharing/sharing-combine.js | 7 | MISMATCH
Sharing\Sharing-Immutable.xml | 3 | sharing/sharing-immutable.js | 3 | MATCH
Sharing\Sharing-Inherit.xml | 10 | sharing/sharing-inherit.js | 4 | MISMATCH
Sharing\Sharing-Rights.xml | 7 | sharing/sharing-rights.js | 5 | MISMATCH
Sharing\Sharing-ToAdmin.xml | 2 | sharing/sharing-to-admin.js | 2 | MATCH
Sharing\Sharing-ToDomainAdmin.xml | 2 | sharing/sharing-to-domain-admin.js | 2 | MATCH
VirtualHost\VirtualHost-GetInfoRequest.xml | 1 | virtualhost/virtual-host-get-info-request.js | 1 | MATCH
--- | --- | --- | --- | ---
**TOTAL** | **267** | | **252** |
