File Path,Smoke,Sanity,Functional,Regression,Total
data/soapvalidator/Admin/Accounts/account_migration.xml,6,0,0,0,6
data/soapvalidator/Admin/Accounts/Account-Alias-Add.xml,3,0,19,4,26
data/soapvalidator/Admin/Accounts/Account-Alias-Remove.xml,0,1,5,6,12
data/soapvalidator/Admin/Accounts/Account-Count.xml,0,1,0,0,1
data/soapvalidator/Admin/Accounts/Account-Create.xml,2,2,69,74,147
data/soapvalidator/Admin/Accounts/Account-Create02.xml,0,0,32,31,63
data/soapvalidator/Admin/Accounts/Account-Create-Sphchar.xml,0,2,1,1,4
data/soapvalidator/Admin/Accounts/Account-Delete.xml,1,1,3,3,8
data/soapvalidator/Admin/Accounts/Account-Device-Reminder-Set-Unset.xml,0,6,0,0,6
data/soapvalidator/Admin/Accounts/Account-Get.xml,2,4,2,11,19
data/soapvalidator/Admin/Accounts/Account-Getinfo.xml,0,4,1,9,14
data/soapvalidator/Admin/Accounts/Account-Getmembership.xml,0,4,0,5,9
data/soapvalidator/Admin/Accounts/AccountLoggerRequest.xml,0,4,0,0,4
data/soapvalidator/Admin/Accounts/Account-Modify.xml,3,60,8,61,132
data/soapvalidator/Admin/Accounts/Account-Modify02.xml,0,28,0,28,56
data/soapvalidator/Admin/Accounts/Account-Rename.xml,1,1,0,11,13
data/soapvalidator/Admin/Accounts/AccountRequest.xml,0,16,0,0,16
data/soapvalidator/Admin/Accounts/Accounts-Loop.xml,0,1,8,0,9
data/soapvalidator/Admin/Accounts/AddressBookSizeLimit/Addressbook-Size-Limit.xml,0,3,4,0,7
data/soapvalidator/Admin/Accounts/Bug39720.xml,0,1,0,0,1
data/soapvalidator/Admin/Accounts/COS/Account-Create.xml,1,0,0,0,1
data/soapvalidator/Admin/Accounts/CountAccountRequest.xml,0,1,0,0,1
data/soapvalidator/Admin/Accounts/CreateAccountMulitnode1.xml,0,1,0,0,1
data/soapvalidator/Admin/Accounts/CreateAccountMulitnode2.xml,0,1,0,0,1
data/soapvalidator/Admin/Accounts/CreateAccountMulitnode3.xml,0,1,0,0,1
data/soapvalidator/Admin/Accounts/ForeignPrincipal/Account-Create.xml,0,3,0,1,4
data/soapvalidator/Admin/Accounts/ForeignPrincipal/Account-Get.xml,0,3,3,0,6
data/soapvalidator/Admin/Accounts/ForeignPrincipal/Account-Getmembership.xml,0,3,0,0,3
data/soapvalidator/Admin/Accounts/ForeignPrincipal/Account-Modify.xml,0,3,0,0,3
data/soapvalidator/Admin/Accounts/ForeignPrincipal/BackupRequest.xml,0,0,2,0,2
data/soapvalidator/Admin/Accounts/ForeignPrincipal/Resource-Create.xml,0,3,0,0,3
data/soapvalidator/Admin/Accounts/ForeignPrincipal/Resource-Get.xml,0,3,3,0,6
data/soapvalidator/Admin/Accounts/ForeignPrincipal/Resource-Modify.xml,0,3,0,0,3
data/soapvalidator/Admin/Accounts/ForeignPrincipal/SearchDirectoryRequest.xml,0,2,0,0,2
data/soapvalidator/Admin/Accounts/GetAccountMultinode.xml,0,1,0,0,1
data/soapvalidator/Admin/Accounts/GetAllAdminAccountsRequest.xml,0,1,0,0,1
data/soapvalidator/Admin/Accounts/LastLogon/AuthRequest.xml,0,0,1,0,1
data/soapvalidator/Admin/Accounts/LastLogon/ForeignPrincipal-AuthRequest.xml,0,0,1,0,1
data/soapvalidator/Admin/Accounts/LastLogon/GetAccountRequest.xml,0,0,2,0,2
data/soapvalidator/Admin/Accounts/LastLogon/Preauth-AuthRequest.xml,0,0,1,0,1
data/soapvalidator/Admin/Accounts/Multihost/Multihost-Account-Create.xml,0,1,0,0,1
data/soapvalidator/Admin/Accounts/Quota/ZimbraQuotaWarnMessage.xml,0,3,5,0,8
